array_type	config	frequency	array_size	lower_limit	elapsed_time
random_seq	0x60	1.8GHz	10	2	0.009767
random_seq	0x60	1.8GHz	10	2	0.010175
random_seq	0x60	1.8GHz	10	2	0.010235
random_seq	0x60	1.8GHz	10	2	0.010082
random_seq	0x60	1.8GHz	10	2	0.010091
random_seq	0x60	1.8GHz	10	4	0.010128
random_seq	0x60	1.8GHz	10	4	0.009396
random_seq	0x60	1.8GHz	10	4	0.009407
random_seq	0x60	1.8GHz	10	4	0.009922
random_seq	0x60	1.8GHz	10	4	0.009555
random_seq	0x60	1.8GHz	10	8	0.009367
random_seq	0x60	1.8GHz	10	8	0.009447
random_seq	0x60	1.8GHz	10	8	0.00956
random_seq	0x60	1.8GHz	10	8	0.009555
random_seq	0x60	1.8GHz	10	8	0.009686
random_seq	0x60	1.8GHz	100	2	0.013522
random_seq	0x60	1.8GHz	100	2	0.013227
random_seq	0x60	1.8GHz	100	2	0.01311
random_seq	0x60	1.8GHz	100	2	0.013148
random_seq	0x60	1.8GHz	100	2	0.013595
random_seq	0x60	1.8GHz	100	4	0.013125
random_seq	0x60	1.8GHz	100	4	0.014457
random_seq	0x60	1.8GHz	100	4	0.012916
random_seq	0x60	1.8GHz	100	4	0.013299
random_seq	0x60	1.8GHz	100	4	0.013651
random_seq	0x60	1.8GHz	100	8	0.012391
random_seq	0x60	1.8GHz	100	8	0.012071
random_seq	0x60	1.8GHz	100	8	0.011992
random_seq	0x60	1.8GHz	100	8	0.011813
random_seq	0x60	1.8GHz	100	8	0.011782
random_seq	0x60	1.8GHz	100	16	0.011229
random_seq	0x60	1.8GHz	100	16	0.011218
random_seq	0x60	1.8GHz	100	16	0.011245
random_seq	0x60	1.8GHz	100	16	0.01253
random_seq	0x60	1.8GHz	100	16	0.011585
random_seq	0x60	1.8GHz	100	32	0.010482
random_seq	0x60	1.8GHz	100	32	0.01085
random_seq	0x60	1.8GHz	100	32	0.010333
random_seq	0x60	1.8GHz	100	32	0.010747
random_seq	0x60	1.8GHz	100	32	0.010732
random_seq	0x60	1.8GHz	100	64	0.009567
random_seq	0x60	1.8GHz	100	64	0.009656
random_seq	0x60	1.8GHz	100	64	0.010186
random_seq	0x60	1.8GHz	100	64	0.009599
random_seq	0x60	1.8GHz	100	64	0.009662
random_seq	0x60	1.8GHz	1000	2	0.044429
random_seq	0x60	1.8GHz	1000	2	0.044424
random_seq	0x60	1.8GHz	1000	2	0.044417
random_seq	0x60	1.8GHz	1000	2	0.044729
random_seq	0x60	1.8GHz	1000	2	0.044472
random_seq	0x60	1.8GHz	1000	4	0.041451
random_seq	0x60	1.8GHz	1000	4	0.039581
random_seq	0x60	1.8GHz	1000	4	0.040019
random_seq	0x60	1.8GHz	1000	4	0.041043
random_seq	0x60	1.8GHz	1000	4	0.041335
random_seq	0x60	1.8GHz	1000	8	0.031742
random_seq	0x60	1.8GHz	1000	8	0.031542
random_seq	0x60	1.8GHz	1000	8	0.031643
random_seq	0x60	1.8GHz	1000	8	0.031356
random_seq	0x60	1.8GHz	1000	8	0.031109
random_seq	0x60	1.8GHz	1000	16	0.024675
random_seq	0x60	1.8GHz	1000	16	0.025509
random_seq	0x60	1.8GHz	1000	16	0.024534
random_seq	0x60	1.8GHz	1000	16	0.025628
random_seq	0x60	1.8GHz	1000	16	0.024822
random_seq	0x60	1.8GHz	1000	32	0.02027
random_seq	0x60	1.8GHz	1000	32	0.022006
random_seq	0x60	1.8GHz	1000	32	0.020944
random_seq	0x60	1.8GHz	1000	32	0.020448
random_seq	0x60	1.8GHz	1000	32	0.020387
random_seq	0x60	1.8GHz	1000	64	0.018332
random_seq	0x60	1.8GHz	1000	64	0.01809
random_seq	0x60	1.8GHz	1000	64	0.017992
random_seq	0x60	1.8GHz	1000	64	0.017668
random_seq	0x60	1.8GHz	1000	64	0.019821
random_seq	0x60	1.8GHz	1000	128	0.017349
random_seq	0x60	1.8GHz	1000	128	0.017525
random_seq	0x60	1.8GHz	1000	128	0.016949
random_seq	0x60	1.8GHz	1000	128	0.017777
random_seq	0x60	1.8GHz	1000	128	0.017658
random_seq	0x60	1.8GHz	1000	256	0.016269
random_seq	0x60	1.8GHz	1000	256	0.01621
random_seq	0x60	1.8GHz	1000	256	0.016216
random_seq	0x60	1.8GHz	1000	256	0.015991
random_seq	0x60	1.8GHz	1000	256	0.015967
random_seq	0x60	1.8GHz	1000	512	0.017544
random_seq	0x60	1.8GHz	1000	512	0.016941
random_seq	0x60	1.8GHz	1000	512	0.017119
random_seq	0x60	1.8GHz	1000	512	0.017251
random_seq	0x60	1.8GHz	1000	512	0.017211
random_seq	0x60	1.8GHz	10000	2	0.399821
random_seq	0x60	1.8GHz	10000	2	0.405167
random_seq	0x60	1.8GHz	10000	2	0.400633
random_seq	0x60	1.8GHz	10000	2	0.39638
random_seq	0x60	1.8GHz	10000	2	0.396846
random_seq	0x60	1.8GHz	10000	4	0.351941
random_seq	0x60	1.8GHz	10000	4	0.354922
random_seq	0x60	1.8GHz	10000	4	0.360391
random_seq	0x60	1.8GHz	10000	4	0.347501
random_seq	0x60	1.8GHz	10000	4	0.35103
random_seq	0x60	1.8GHz	10000	8	0.265114
random_seq	0x60	1.8GHz	10000	8	0.259905
random_seq	0x60	1.8GHz	10000	8	0.261936
random_seq	0x60	1.8GHz	10000	8	0.265539
random_seq	0x60	1.8GHz	10000	8	0.262463
random_seq	0x60	1.8GHz	10000	16	0.197235
random_seq	0x60	1.8GHz	10000	16	0.192333
random_seq	0x60	1.8GHz	10000	16	0.194438
random_seq	0x60	1.8GHz	10000	16	0.195253
random_seq	0x60	1.8GHz	10000	16	0.19626
random_seq	0x60	1.8GHz	10000	32	0.158341
random_seq	0x60	1.8GHz	10000	32	0.155076
random_seq	0x60	1.8GHz	10000	32	0.156631
random_seq	0x60	1.8GHz	10000	32	0.155452
random_seq	0x60	1.8GHz	10000	32	0.156862
random_seq	0x60	1.8GHz	10000	64	0.128375
random_seq	0x60	1.8GHz	10000	64	0.130748
random_seq	0x60	1.8GHz	10000	64	0.130549
random_seq	0x60	1.8GHz	10000	64	0.131038
random_seq	0x60	1.8GHz	10000	64	0.129164
random_seq	0x60	1.8GHz	10000	128	0.11126
random_seq	0x60	1.8GHz	10000	128	0.11334
random_seq	0x60	1.8GHz	10000	128	0.113126
random_seq	0x60	1.8GHz	10000	128	0.111779
random_seq	0x60	1.8GHz	10000	128	0.111919
random_seq	0x60	1.8GHz	10000	256	0.104296
random_seq	0x60	1.8GHz	10000	256	0.103804
random_seq	0x60	1.8GHz	10000	256	0.102685
random_seq	0x60	1.8GHz	10000	256	0.104371
random_seq	0x60	1.8GHz	10000	256	0.10286
random_seq	0x60	1.8GHz	10000	512	0.102588
random_seq	0x60	1.8GHz	10000	512	0.101966
random_seq	0x60	1.8GHz	10000	512	0.102505
random_seq	0x60	1.8GHz	10000	512	0.102883
random_seq	0x60	1.8GHz	10000	512	0.102524
random_seq	0x60	1.8GHz	10000	1024	0.1141
random_seq	0x60	1.8GHz	10000	1024	0.116396
random_seq	0x60	1.8GHz	10000	1024	0.114711
random_seq	0x60	1.8GHz	10000	1024	0.112761
random_seq	0x60	1.8GHz	10000	1024	0.114106
random_seq	0x60	1.8GHz	10000	2048	0.164234
random_seq	0x60	1.8GHz	10000	2048	0.158583
random_seq	0x60	1.8GHz	10000	2048	0.161556
random_seq	0x60	1.8GHz	10000	2048	0.164805
random_seq	0x60	1.8GHz	10000	2048	0.164079
random_seq	0x60	1.8GHz	10000	4096	0.319953
random_seq	0x60	1.8GHz	10000	4096	0.319347
random_seq	0x60	1.8GHz	10000	4096	0.319767
random_seq	0x60	1.8GHz	10000	4096	0.320263
random_seq	0x60	1.8GHz	10000	4096	0.318656
random_seq	0x60	1.8GHz	10000	8192	0.666593
random_seq	0x60	1.8GHz	10000	8192	0.670242
random_seq	0x60	1.8GHz	10000	8192	0.669396
random_seq	0x60	1.8GHz	10000	8192	0.672287
random_seq	0x60	1.8GHz	10000	8192	0.669957
random_seq	0x60	1.8GHz	100000	2	4.797197
random_seq	0x60	1.8GHz	100000	2	4.739617
random_seq	0x60	1.8GHz	100000	2	4.716886
random_seq	0x60	1.8GHz	100000	2	4.76861
random_seq	0x60	1.8GHz	100000	2	4.777513
random_seq	0x60	1.8GHz	100000	4	4.210204
random_seq	0x60	1.8GHz	100000	4	4.28855
random_seq	0x60	1.8GHz	100000	4	4.291563
random_seq	0x60	1.8GHz	100000	4	4.256827
random_seq	0x60	1.8GHz	100000	4	4.201539
random_seq	0x60	1.8GHz	100000	8	3.21557
random_seq	0x60	1.8GHz	100000	8	3.286594
random_seq	0x60	1.8GHz	100000	8	3.255207
random_seq	0x60	1.8GHz	100000	8	3.256308
random_seq	0x60	1.8GHz	100000	8	3.234134
random_seq	0x60	1.8GHz	100000	16	2.55373
random_seq	0x60	1.8GHz	100000	16	2.576554
random_seq	0x60	1.8GHz	100000	16	2.561701
random_seq	0x60	1.8GHz	100000	16	2.569225
random_seq	0x60	1.8GHz	100000	16	2.59112
random_seq	0x60	1.8GHz	100000	32	2.142424
random_seq	0x60	1.8GHz	100000	32	2.150941
random_seq	0x60	1.8GHz	100000	32	2.158533
random_seq	0x60	1.8GHz	100000	32	2.127382
random_seq	0x60	1.8GHz	100000	32	2.118957
random_seq	0x60	1.8GHz	100000	64	1.869961
random_seq	0x60	1.8GHz	100000	64	1.837064
random_seq	0x60	1.8GHz	100000	64	1.827508
random_seq	0x60	1.8GHz	100000	64	1.832205
random_seq	0x60	1.8GHz	100000	64	1.851248
random_seq	0x60	1.8GHz	100000	128	1.643306
random_seq	0x60	1.8GHz	100000	128	1.676008
random_seq	0x60	1.8GHz	100000	128	1.685561
random_seq	0x60	1.8GHz	100000	128	1.652523
random_seq	0x60	1.8GHz	100000	128	1.636242
random_seq	0x60	1.8GHz	100000	256	1.572835
random_seq	0x60	1.8GHz	100000	256	1.566898
random_seq	0x60	1.8GHz	100000	256	1.569715
random_seq	0x60	1.8GHz	100000	256	1.558123
random_seq	0x60	1.8GHz	100000	256	1.557982
random_seq	0x60	1.8GHz	100000	512	1.541714
random_seq	0x60	1.8GHz	100000	512	1.578421
random_seq	0x60	1.8GHz	100000	512	1.570642
random_seq	0x60	1.8GHz	100000	512	1.578363
random_seq	0x60	1.8GHz	100000	512	1.587888
random_seq	0x60	1.8GHz	100000	1024	1.727576
random_seq	0x60	1.8GHz	100000	1024	1.730754
random_seq	0x60	1.8GHz	100000	1024	1.699892
random_seq	0x60	1.8GHz	100000	1024	1.729655
random_seq	0x60	1.8GHz	100000	1024	1.710251
random_seq	0x60	1.8GHz	100000	2048	2.030533
random_seq	0x60	1.8GHz	100000	2048	2.09025
random_seq	0x60	1.8GHz	100000	2048	2.052886
random_seq	0x60	1.8GHz	100000	2048	2.097098
random_seq	0x60	1.8GHz	100000	2048	2.065016
random_seq	0x60	1.8GHz	100000	4096	2.778816
random_seq	0x60	1.8GHz	100000	4096	2.781552
random_seq	0x60	1.8GHz	100000	4096	2.774846
random_seq	0x60	1.8GHz	100000	4096	2.802224
random_seq	0x60	1.8GHz	100000	4096	2.821843
random_seq	0x60	1.8GHz	100000	8192	5.609457
random_seq	0x60	1.8GHz	100000	8192	5.62459
random_seq	0x60	1.8GHz	100000	8192	5.599062
random_seq	0x60	1.8GHz	100000	8192	5.512997
random_seq	0x60	1.8GHz	100000	8192	5.523496
random_seq	0x60	1.8GHz	100000	16384	10.638341
random_seq	0x60	1.8GHz	100000	16384	10.73193
random_seq	0x60	1.8GHz	100000	16384	10.535088
random_seq	0x60	1.8GHz	100000	16384	10.99858
random_seq	0x60	1.8GHz	100000	16384	10.665938
random_seq	0x60	1.8GHz	100000	32768	19.087953
random_seq	0x60	1.8GHz	100000	32768	18.861074
random_seq	0x60	1.8GHz	100000	32768	19.177253
random_seq	0x60	1.8GHz	100000	32768	19.461553
random_seq	0x60	1.8GHz	100000	32768	19.410416
random_seq	0x60	1.8GHz	100000	65536	52.359301
random_seq	0x60	1.8GHz	100000	65536	51.332308
random_seq	0x60	1.8GHz	100000	65536	51.148119
random_seq	0x60	1.8GHz	100000	65536	51.753045
random_seq	0x60	1.8GHz	100000	65536	51.579069
