array_type	config	frequency	array_size	elapsed_time
expt_seq	0x09	1.8GHz	10	0.015983
expt_seq	0x09	1.8GHz	10	0.016116
expt_seq	0x09	1.8GHz	10	0.01613
expt_seq	0x09	1.8GHz	10	0.016097
expt_seq	0x09	1.8GHz	10	0.018452
expt_seq	0x09	1.8GHz	100	0.018881
expt_seq	0x09	1.8GHz	100	0.018801
expt_seq	0x09	1.8GHz	100	0.022114
expt_seq	0x09	1.8GHz	100	0.019032
expt_seq	0x09	1.8GHz	100	0.018881
expt_seq	0x09	1.8GHz	1000	0.047145
expt_seq	0x09	1.8GHz	1000	0.047933
expt_seq	0x09	1.8GHz	1000	0.043826
expt_seq	0x09	1.8GHz	1000	0.044807
expt_seq	0x09	1.8GHz	1000	0.044102
expt_seq	0x09	1.8GHz	10000	0.325777
expt_seq	0x09	1.8GHz	10000	0.323317
expt_seq	0x09	1.8GHz	10000	0.319267
expt_seq	0x09	1.8GHz	10000	0.318575
expt_seq	0x09	1.8GHz	10000	0.326498
expt_seq	0x09	1.8GHz	100000	3.396269
expt_seq	0x09	1.8GHz	100000	3.372925
expt_seq	0x09	1.8GHz	100000	3.397441
expt_seq	0x09	1.8GHz	100000	3.410024
expt_seq	0x09	1.8GHz	100000	3.438612
expt_seq	0x09	1.8GHz	1000000	36.003166
expt_seq	0x09	1.8GHz	1000000	36.277726
expt_seq	0x09	1.8GHz	1000000	35.871877
expt_seq	0x09	1.8GHz	1000000	36.076547
expt_seq	0x09	1.8GHz	1000000	35.901098
