array_type	config	frequency	array_size	elapsed_time
expt_seq	0x60	1.6GHz	10	0.008659
expt_seq	0x60	1.6GHz	10	0.008566
expt_seq	0x60	1.6GHz	10	0.008423
expt_seq	0x60	1.6GHz	10	0.008273
expt_seq	0x60	1.6GHz	10	0.008691
expt_seq	0x60	1.6GHz	100	0.01014
expt_seq	0x60	1.6GHz	100	0.010683
expt_seq	0x60	1.6GHz	100	0.010707
expt_seq	0x60	1.6GHz	100	0.01
expt_seq	0x60	1.6GHz	100	0.010074
expt_seq	0x60	1.6GHz	1000	0.025428
expt_seq	0x60	1.6GHz	1000	0.025476
expt_seq	0x60	1.6GHz	1000	0.025701
expt_seq	0x60	1.6GHz	1000	0.027205
expt_seq	0x60	1.6GHz	1000	0.026414
expt_seq	0x60	1.6GHz	10000	0.192504
expt_seq	0x60	1.6GHz	10000	0.187649
expt_seq	0x60	1.6GHz	10000	0.190936
expt_seq	0x60	1.6GHz	10000	0.191002
expt_seq	0x60	1.6GHz	10000	0.187522
expt_seq	0x60	1.6GHz	100000	1.941464
expt_seq	0x60	1.6GHz	100000	1.974051
expt_seq	0x60	1.6GHz	100000	1.979237
expt_seq	0x60	1.6GHz	100000	1.969377
expt_seq	0x60	1.6GHz	100000	1.963657
expt_seq	0x60	1.6GHz	1000000	20.973101
expt_seq	0x60	1.6GHz	1000000	21.174987
expt_seq	0x60	1.6GHz	1000000	21.191223
expt_seq	0x60	1.6GHz	1000000	20.689849
expt_seq	0x60	1.6GHz	1000000	20.397099
