array_type	config	frequency	array_size	elapsed_time
expt_seq	0xf0	1.8GHz	10	0.008733
expt_seq	0xf0	1.8GHz	10	0.008464
expt_seq	0xf0	1.8GHz	10	0.008436
expt_seq	0xf0	1.8GHz	10	0.008868
expt_seq	0xf0	1.8GHz	10	0.00974
expt_seq	0xf0	1.8GHz	100	0.01043
expt_seq	0xf0	1.8GHz	100	0.009901
expt_seq	0xf0	1.8GHz	100	0.009986
expt_seq	0xf0	1.8GHz	100	0.011446
expt_seq	0xf0	1.8GHz	100	0.01135
expt_seq	0xf0	1.8GHz	1000	0.021295
expt_seq	0xf0	1.8GHz	1000	0.022911
expt_seq	0xf0	1.8GHz	1000	0.023707
expt_seq	0xf0	1.8GHz	1000	0.021325
expt_seq	0xf0	1.8GHz	1000	0.021831
expt_seq	0xf0	1.8GHz	10000	0.147961
expt_seq	0xf0	1.8GHz	10000	0.157294
expt_seq	0xf0	1.8GHz	10000	0.157967
expt_seq	0xf0	1.8GHz	10000	0.156651
expt_seq	0xf0	1.8GHz	10000	0.150347
expt_seq	0xf0	1.8GHz	100000	1.427383
expt_seq	0xf0	1.8GHz	100000	1.441731
expt_seq	0xf0	1.8GHz	100000	1.438409
expt_seq	0xf0	1.8GHz	100000	1.425849
expt_seq	0xf0	1.8GHz	100000	1.397966
expt_seq	0xf0	1.8GHz	1000000	14.726985
expt_seq	0xf0	1.8GHz	1000000	14.724084
expt_seq	0xf0	1.8GHz	1000000	14.861182
expt_seq	0xf0	1.8GHz	1000000	14.663688
expt_seq	0xf0	1.8GHz	1000000	14.687445
