array_type	config	frequency	array_size	elapsed_time
expt_seq	0x0f	1.8GHz	10	0.019133
expt_seq	0x0f	1.8GHz	10	0.016141
expt_seq	0x0f	1.8GHz	10	0.016032
expt_seq	0x0f	1.8GHz	10	0.016043
expt_seq	0x0f	1.8GHz	10	0.020244
expt_seq	0x0f	1.8GHz	100	0.018253
expt_seq	0x0f	1.8GHz	100	0.018172
expt_seq	0x0f	1.8GHz	100	0.018157
expt_seq	0x0f	1.8GHz	100	0.022309
expt_seq	0x0f	1.8GHz	100	0.0182
expt_seq	0x0f	1.8GHz	1000	0.032698
expt_seq	0x0f	1.8GHz	1000	0.037087
expt_seq	0x0f	1.8GHz	1000	0.032883
expt_seq	0x0f	1.8GHz	1000	0.032162
expt_seq	0x0f	1.8GHz	1000	0.033154
expt_seq	0x0f	1.8GHz	10000	0.188577
expt_seq	0x0f	1.8GHz	10000	0.189937
expt_seq	0x0f	1.8GHz	10000	0.18883
expt_seq	0x0f	1.8GHz	10000	0.185118
expt_seq	0x0f	1.8GHz	10000	0.186224
expt_seq	0x0f	1.8GHz	100000	1.955009
expt_seq	0x0f	1.8GHz	100000	1.971445
expt_seq	0x0f	1.8GHz	100000	1.983112
expt_seq	0x0f	1.8GHz	100000	2.00099
expt_seq	0x0f	1.8GHz	100000	1.958483
expt_seq	0x0f	1.8GHz	1000000	20.823135
expt_seq	0x0f	1.8GHz	1000000	20.602428
expt_seq	0x0f	1.8GHz	1000000	21.036877
expt_seq	0x0f	1.8GHz	1000000	20.435422
expt_seq	0x0f	1.8GHz	1000000	20.863674
