array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0x60	1.6GHz	10	2	0.010228
expt_seq	0x60	1.6GHz	10	2	0.0096
expt_seq	0x60	1.6GHz	10	2	0.010371
expt_seq	0x60	1.6GHz	10	2	0.009583
expt_seq	0x60	1.6GHz	10	2	0.009962
expt_seq	0x60	1.6GHz	10	4	0.010005
expt_seq	0x60	1.6GHz	10	4	0.010108
expt_seq	0x60	1.6GHz	10	4	0.009936
expt_seq	0x60	1.6GHz	10	4	0.010057
expt_seq	0x60	1.6GHz	10	4	0.00987
expt_seq	0x60	1.6GHz	10	8	0.009561
expt_seq	0x60	1.6GHz	10	8	0.009322
expt_seq	0x60	1.6GHz	10	8	0.009449
expt_seq	0x60	1.6GHz	10	8	0.009103
expt_seq	0x60	1.6GHz	10	8	0.00975
expt_seq	0x60	1.6GHz	100	2	0.014214
expt_seq	0x60	1.6GHz	100	2	0.012657
expt_seq	0x60	1.6GHz	100	2	0.012662
expt_seq	0x60	1.6GHz	100	2	0.012592
expt_seq	0x60	1.6GHz	100	2	0.012749
expt_seq	0x60	1.6GHz	100	4	0.011948
expt_seq	0x60	1.6GHz	100	4	0.013751
expt_seq	0x60	1.6GHz	100	4	0.012678
expt_seq	0x60	1.6GHz	100	4	0.012358
expt_seq	0x60	1.6GHz	100	4	0.012203
expt_seq	0x60	1.6GHz	100	8	0.011663
expt_seq	0x60	1.6GHz	100	8	0.011248
expt_seq	0x60	1.6GHz	100	8	0.011817
expt_seq	0x60	1.6GHz	100	8	0.011736
expt_seq	0x60	1.6GHz	100	8	0.011538
expt_seq	0x60	1.6GHz	100	16	0.01141
expt_seq	0x60	1.6GHz	100	16	0.011218
expt_seq	0x60	1.6GHz	100	16	0.011511
expt_seq	0x60	1.6GHz	100	16	0.011668
expt_seq	0x60	1.6GHz	100	16	0.011293
expt_seq	0x60	1.6GHz	100	32	0.010092
expt_seq	0x60	1.6GHz	100	32	0.01093
expt_seq	0x60	1.6GHz	100	32	0.010523
expt_seq	0x60	1.6GHz	100	32	0.0107
expt_seq	0x60	1.6GHz	100	32	0.010477
expt_seq	0x60	1.6GHz	100	64	0.010301
expt_seq	0x60	1.6GHz	100	64	0.010718
expt_seq	0x60	1.6GHz	100	64	0.010486
expt_seq	0x60	1.6GHz	100	64	0.011968
expt_seq	0x60	1.6GHz	100	64	0.010501
expt_seq	0x60	1.6GHz	1000	2	0.031849
expt_seq	0x60	1.6GHz	1000	2	0.032329
expt_seq	0x60	1.6GHz	1000	2	0.031043
expt_seq	0x60	1.6GHz	1000	2	0.031139
expt_seq	0x60	1.6GHz	1000	2	0.031223
expt_seq	0x60	1.6GHz	1000	4	0.029327
expt_seq	0x60	1.6GHz	1000	4	0.02895
expt_seq	0x60	1.6GHz	1000	4	0.03032
expt_seq	0x60	1.6GHz	1000	4	0.028791
expt_seq	0x60	1.6GHz	1000	4	0.028969
expt_seq	0x60	1.6GHz	1000	8	0.025298
expt_seq	0x60	1.6GHz	1000	8	0.025181
expt_seq	0x60	1.6GHz	1000	8	0.024939
expt_seq	0x60	1.6GHz	1000	8	0.025324
expt_seq	0x60	1.6GHz	1000	8	0.025262
expt_seq	0x60	1.6GHz	1000	16	0.024478
expt_seq	0x60	1.6GHz	1000	16	0.023471
expt_seq	0x60	1.6GHz	1000	16	0.022999
expt_seq	0x60	1.6GHz	1000	16	0.023242
expt_seq	0x60	1.6GHz	1000	16	0.022954
expt_seq	0x60	1.6GHz	1000	32	0.021396
expt_seq	0x60	1.6GHz	1000	32	0.021667
expt_seq	0x60	1.6GHz	1000	32	0.020381
expt_seq	0x60	1.6GHz	1000	32	0.020807
expt_seq	0x60	1.6GHz	1000	32	0.020078
expt_seq	0x60	1.6GHz	1000	64	0.018252
expt_seq	0x60	1.6GHz	1000	64	0.018195
expt_seq	0x60	1.6GHz	1000	64	0.018539
expt_seq	0x60	1.6GHz	1000	64	0.01859
expt_seq	0x60	1.6GHz	1000	64	0.01958
expt_seq	0x60	1.6GHz	1000	128	0.017704
expt_seq	0x60	1.6GHz	1000	128	0.017308
expt_seq	0x60	1.6GHz	1000	128	0.017382
expt_seq	0x60	1.6GHz	1000	128	0.017447
expt_seq	0x60	1.6GHz	1000	128	0.017625
expt_seq	0x60	1.6GHz	1000	256	0.016279
expt_seq	0x60	1.6GHz	1000	256	0.016275
expt_seq	0x60	1.6GHz	1000	256	0.016264
expt_seq	0x60	1.6GHz	1000	256	0.01825
expt_seq	0x60	1.6GHz	1000	256	0.016403
expt_seq	0x60	1.6GHz	1000	512	0.015491
expt_seq	0x60	1.6GHz	1000	512	0.016157
expt_seq	0x60	1.6GHz	1000	512	0.015616
expt_seq	0x60	1.6GHz	1000	512	0.017155
expt_seq	0x60	1.6GHz	1000	512	0.015496
expt_seq	0x60	1.6GHz	10000	2	0.240407
expt_seq	0x60	1.6GHz	10000	2	0.239562
expt_seq	0x60	1.6GHz	10000	2	0.234226
expt_seq	0x60	1.6GHz	10000	2	0.238322
expt_seq	0x60	1.6GHz	10000	2	0.236712
expt_seq	0x60	1.6GHz	10000	4	0.208472
expt_seq	0x60	1.6GHz	10000	4	0.212806
expt_seq	0x60	1.6GHz	10000	4	0.21248
expt_seq	0x60	1.6GHz	10000	4	0.210169
expt_seq	0x60	1.6GHz	10000	4	0.211404
expt_seq	0x60	1.6GHz	10000	8	0.180228
expt_seq	0x60	1.6GHz	10000	8	0.182532
expt_seq	0x60	1.6GHz	10000	8	0.181439
expt_seq	0x60	1.6GHz	10000	8	0.178945
expt_seq	0x60	1.6GHz	10000	8	0.177999
expt_seq	0x60	1.6GHz	10000	16	0.145064
expt_seq	0x60	1.6GHz	10000	16	0.147746
expt_seq	0x60	1.6GHz	10000	16	0.146951
expt_seq	0x60	1.6GHz	10000	16	0.147667
expt_seq	0x60	1.6GHz	10000	16	0.147208
expt_seq	0x60	1.6GHz	10000	32	0.122113
expt_seq	0x60	1.6GHz	10000	32	0.123237
expt_seq	0x60	1.6GHz	10000	32	0.120947
expt_seq	0x60	1.6GHz	10000	32	0.121692
expt_seq	0x60	1.6GHz	10000	32	0.122341
expt_seq	0x60	1.6GHz	10000	64	0.105476
expt_seq	0x60	1.6GHz	10000	64	0.107054
expt_seq	0x60	1.6GHz	10000	64	0.106599
expt_seq	0x60	1.6GHz	10000	64	0.104206
expt_seq	0x60	1.6GHz	10000	64	0.106877
expt_seq	0x60	1.6GHz	10000	128	0.097146
expt_seq	0x60	1.6GHz	10000	128	0.09797
expt_seq	0x60	1.6GHz	10000	128	0.09578
expt_seq	0x60	1.6GHz	10000	128	0.097775
expt_seq	0x60	1.6GHz	10000	128	0.095282
expt_seq	0x60	1.6GHz	10000	256	0.088442
expt_seq	0x60	1.6GHz	10000	256	0.087448
expt_seq	0x60	1.6GHz	10000	256	0.088974
expt_seq	0x60	1.6GHz	10000	256	0.088292
expt_seq	0x60	1.6GHz	10000	256	0.089646
expt_seq	0x60	1.6GHz	10000	512	0.093673
expt_seq	0x60	1.6GHz	10000	512	0.092201
expt_seq	0x60	1.6GHz	10000	512	0.091312
expt_seq	0x60	1.6GHz	10000	512	0.091838
expt_seq	0x60	1.6GHz	10000	512	0.094243
expt_seq	0x60	1.6GHz	10000	1024	0.106821
expt_seq	0x60	1.6GHz	10000	1024	0.102928
expt_seq	0x60	1.6GHz	10000	1024	0.103981
expt_seq	0x60	1.6GHz	10000	1024	0.104643
expt_seq	0x60	1.6GHz	10000	1024	0.105284
expt_seq	0x60	1.6GHz	10000	2048	0.191114
expt_seq	0x60	1.6GHz	10000	2048	0.182217
expt_seq	0x60	1.6GHz	10000	2048	0.173409
expt_seq	0x60	1.6GHz	10000	2048	0.169684
expt_seq	0x60	1.6GHz	10000	2048	0.180537
expt_seq	0x60	1.6GHz	10000	4096	0.297139
expt_seq	0x60	1.6GHz	10000	4096	0.309416
expt_seq	0x60	1.6GHz	10000	4096	0.300103
expt_seq	0x60	1.6GHz	10000	4096	0.279716
expt_seq	0x60	1.6GHz	10000	4096	0.311731
expt_seq	0x60	1.6GHz	10000	8192	0.936627
expt_seq	0x60	1.6GHz	10000	8192	0.945826
expt_seq	0x60	1.6GHz	10000	8192	0.943413
expt_seq	0x60	1.6GHz	10000	8192	0.9473
expt_seq	0x60	1.6GHz	10000	8192	0.942768
expt_seq	0x60	1.6GHz	100000	2	2.925599
expt_seq	0x60	1.6GHz	100000	2	2.901922
expt_seq	0x60	1.6GHz	100000	2	3.039806
expt_seq	0x60	1.6GHz	100000	2	2.957127
expt_seq	0x60	1.6GHz	100000	2	2.835712
expt_seq	0x60	1.6GHz	100000	4	2.677971
expt_seq	0x60	1.6GHz	100000	4	2.715672
expt_seq	0x60	1.6GHz	100000	4	2.708336
expt_seq	0x60	1.6GHz	100000	4	2.72358
expt_seq	0x60	1.6GHz	100000	4	2.696461
expt_seq	0x60	1.6GHz	100000	8	2.411593
expt_seq	0x60	1.6GHz	100000	8	2.384324
expt_seq	0x60	1.6GHz	100000	8	2.406342
expt_seq	0x60	1.6GHz	100000	8	2.443669
expt_seq	0x60	1.6GHz	100000	8	2.36818
expt_seq	0x60	1.6GHz	100000	16	2.127083
expt_seq	0x60	1.6GHz	100000	16	2.140705
expt_seq	0x60	1.6GHz	100000	16	2.126253
expt_seq	0x60	1.6GHz	100000	16	2.106799
expt_seq	0x60	1.6GHz	100000	16	2.124137
expt_seq	0x60	1.6GHz	100000	32	1.939926
expt_seq	0x60	1.6GHz	100000	32	1.904615
expt_seq	0x60	1.6GHz	100000	32	1.961888
expt_seq	0x60	1.6GHz	100000	32	1.91733
expt_seq	0x60	1.6GHz	100000	32	1.942282
expt_seq	0x60	1.6GHz	100000	64	1.797731
expt_seq	0x60	1.6GHz	100000	64	1.795787
expt_seq	0x60	1.6GHz	100000	64	1.813839
expt_seq	0x60	1.6GHz	100000	64	1.765255
expt_seq	0x60	1.6GHz	100000	64	1.818524
expt_seq	0x60	1.6GHz	100000	128	1.67141
expt_seq	0x60	1.6GHz	100000	128	1.649076
expt_seq	0x60	1.6GHz	100000	128	1.674967
expt_seq	0x60	1.6GHz	100000	128	1.679608
expt_seq	0x60	1.6GHz	100000	128	1.674691
expt_seq	0x60	1.6GHz	100000	256	1.610205
expt_seq	0x60	1.6GHz	100000	256	1.668859
expt_seq	0x60	1.6GHz	100000	256	1.626541
expt_seq	0x60	1.6GHz	100000	256	1.6083
expt_seq	0x60	1.6GHz	100000	256	1.651724
expt_seq	0x60	1.6GHz	100000	512	1.630987
expt_seq	0x60	1.6GHz	100000	512	1.676181
expt_seq	0x60	1.6GHz	100000	512	1.624007
expt_seq	0x60	1.6GHz	100000	512	1.652133
expt_seq	0x60	1.6GHz	100000	512	1.619664
expt_seq	0x60	1.6GHz	100000	1024	1.80381
expt_seq	0x60	1.6GHz	100000	1024	1.746667
expt_seq	0x60	1.6GHz	100000	1024	1.824467
expt_seq	0x60	1.6GHz	100000	1024	1.753246
expt_seq	0x60	1.6GHz	100000	1024	1.710866
expt_seq	0x60	1.6GHz	100000	2048	2.117639
expt_seq	0x60	1.6GHz	100000	2048	2.144656
expt_seq	0x60	1.6GHz	100000	2048	2.104883
expt_seq	0x60	1.6GHz	100000	2048	2.056303
expt_seq	0x60	1.6GHz	100000	2048	2.108683
expt_seq	0x60	1.6GHz	100000	4096	2.900151
expt_seq	0x60	1.6GHz	100000	4096	2.894347
expt_seq	0x60	1.6GHz	100000	4096	2.912928
expt_seq	0x60	1.6GHz	100000	4096	2.925012
expt_seq	0x60	1.6GHz	100000	4096	2.92177
expt_seq	0x60	1.6GHz	100000	8192	5.556156
expt_seq	0x60	1.6GHz	100000	8192	5.534664
expt_seq	0x60	1.6GHz	100000	8192	5.541854
expt_seq	0x60	1.6GHz	100000	8192	5.548318
expt_seq	0x60	1.6GHz	100000	8192	5.50648
expt_seq	0x60	1.6GHz	100000	16384	8.050944
expt_seq	0x60	1.6GHz	100000	16384	8.158152
expt_seq	0x60	1.6GHz	100000	16384	8.071691
expt_seq	0x60	1.6GHz	100000	16384	8.112692
expt_seq	0x60	1.6GHz	100000	16384	8.078242
expt_seq	0x60	1.6GHz	100000	32768	15.417193
expt_seq	0x60	1.6GHz	100000	32768	15.478112
expt_seq	0x60	1.6GHz	100000	32768	16.162999
expt_seq	0x60	1.6GHz	100000	32768	15.501766
expt_seq	0x60	1.6GHz	100000	32768	15.22405
expt_seq	0x60	1.6GHz	100000	65536	36.468188
expt_seq	0x60	1.6GHz	100000	65536	36.475236
expt_seq	0x60	1.6GHz	100000	65536	36.659643
expt_seq	0x60	1.6GHz	100000	65536	36.941564
expt_seq	0x60	1.6GHz	100000	65536	37.143608
