array_type	config	frequency	array_size	elapsed_time
random_seq	0xff	1.6GHz	10	0.008467
random_seq	0xff	1.6GHz	10	0.008771
random_seq	0xff	1.6GHz	10	0.008611
random_seq	0xff	1.6GHz	10	0.00822
random_seq	0xff	1.6GHz	10	0.008441
random_seq	0xff	1.6GHz	100	0.010986
random_seq	0xff	1.6GHz	100	0.010463
random_seq	0xff	1.6GHz	100	0.01107
random_seq	0xff	1.6GHz	100	0.010949
random_seq	0xff	1.6GHz	100	0.011452
random_seq	0xff	1.6GHz	1000	0.02929
random_seq	0xff	1.6GHz	1000	0.037576
random_seq	0xff	1.6GHz	1000	0.029823
random_seq	0xff	1.6GHz	1000	0.032677
random_seq	0xff	1.6GHz	1000	0.031441
random_seq	0xff	1.6GHz	10000	0.208625
random_seq	0xff	1.6GHz	10000	0.190266
random_seq	0xff	1.6GHz	10000	0.183331
random_seq	0xff	1.6GHz	10000	0.190097
random_seq	0xff	1.6GHz	10000	0.20026
random_seq	0xff	1.6GHz	100000	1.398127
random_seq	0xff	1.6GHz	100000	1.462523
random_seq	0xff	1.6GHz	100000	1.501886
random_seq	0xff	1.6GHz	100000	1.445394
random_seq	0xff	1.6GHz	100000	1.384602
random_seq	0xff	1.6GHz	1000000	14.006294
random_seq	0xff	1.6GHz	1000000	14.289874
random_seq	0xff	1.6GHz	1000000	14.005092
random_seq	0xff	1.6GHz	1000000	14.04965
random_seq	0xff	1.6GHz	1000000	14.096086
