array_type	config	frequency	array_size	elapsed_time
random_seq	0x69	1.6GHz	10	0.009631
random_seq	0x69	1.6GHz	10	0.008065
random_seq	0x69	1.6GHz	10	0.008288
random_seq	0x69	1.6GHz	10	0.008777
random_seq	0x69	1.6GHz	10	0.00816
random_seq	0x69	1.6GHz	100	0.010409
random_seq	0x69	1.6GHz	100	0.011891
random_seq	0x69	1.6GHz	100	0.010558
random_seq	0x69	1.6GHz	100	0.011571
random_seq	0x69	1.6GHz	100	0.010662
random_seq	0x69	1.6GHz	1000	0.027289
random_seq	0x69	1.6GHz	1000	0.027729
random_seq	0x69	1.6GHz	1000	0.030051
random_seq	0x69	1.6GHz	1000	0.028255
random_seq	0x69	1.6GHz	1000	0.036333
random_seq	0x69	1.6GHz	10000	0.190968
random_seq	0x69	1.6GHz	10000	0.188322
random_seq	0x69	1.6GHz	10000	0.184433
random_seq	0x69	1.6GHz	10000	0.185151
random_seq	0x69	1.6GHz	10000	0.193092
random_seq	0x69	1.6GHz	100000	1.963606
random_seq	0x69	1.6GHz	100000	1.978751
random_seq	0x69	1.6GHz	100000	1.935297
random_seq	0x69	1.6GHz	100000	1.931605
random_seq	0x69	1.6GHz	100000	1.961613
random_seq	0x69	1.6GHz	1000000	20.972776
random_seq	0x69	1.6GHz	1000000	20.685461
random_seq	0x69	1.6GHz	1000000	20.641139
random_seq	0x69	1.6GHz	1000000	20.861832
random_seq	0x69	1.6GHz	1000000	21.232007
