array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0x09	1.6GHz	10	2	0.022029
expt_seq	0x09	1.6GHz	10	2	0.019133
expt_seq	0x09	1.6GHz	10	2	0.019153
expt_seq	0x09	1.6GHz	10	2	0.019287
expt_seq	0x09	1.6GHz	10	2	0.019269
expt_seq	0x09	1.6GHz	10	4	0.019157
expt_seq	0x09	1.6GHz	10	4	0.019018
expt_seq	0x09	1.6GHz	10	4	0.022449
expt_seq	0x09	1.6GHz	10	4	0.018911
expt_seq	0x09	1.6GHz	10	4	0.01899
expt_seq	0x09	1.6GHz	10	8	0.018521
expt_seq	0x09	1.6GHz	10	8	0.018362
expt_seq	0x09	1.6GHz	10	8	0.01852
expt_seq	0x09	1.6GHz	10	8	0.01845
expt_seq	0x09	1.6GHz	10	8	0.018434
expt_seq	0x09	1.6GHz	100	2	0.023098
expt_seq	0x09	1.6GHz	100	2	0.023389
expt_seq	0x09	1.6GHz	100	2	0.026692
expt_seq	0x09	1.6GHz	100	2	0.026427
expt_seq	0x09	1.6GHz	100	2	0.02305
expt_seq	0x09	1.6GHz	100	4	0.023035
expt_seq	0x09	1.6GHz	100	4	0.022793
expt_seq	0x09	1.6GHz	100	4	0.023265
expt_seq	0x09	1.6GHz	100	4	0.023134
expt_seq	0x09	1.6GHz	100	4	0.023292
expt_seq	0x09	1.6GHz	100	8	0.021982
expt_seq	0x09	1.6GHz	100	8	0.025393
expt_seq	0x09	1.6GHz	100	8	0.022165
expt_seq	0x09	1.6GHz	100	8	0.02221
expt_seq	0x09	1.6GHz	100	8	0.025893
expt_seq	0x09	1.6GHz	100	16	0.025334
expt_seq	0x09	1.6GHz	100	16	0.024764
expt_seq	0x09	1.6GHz	100	16	0.025743
expt_seq	0x09	1.6GHz	100	16	0.021574
expt_seq	0x09	1.6GHz	100	16	0.021636
expt_seq	0x09	1.6GHz	100	32	0.020265
expt_seq	0x09	1.6GHz	100	32	0.020387
expt_seq	0x09	1.6GHz	100	32	0.020454
expt_seq	0x09	1.6GHz	100	32	0.020297
expt_seq	0x09	1.6GHz	100	32	0.02023
expt_seq	0x09	1.6GHz	100	64	0.019868
expt_seq	0x09	1.6GHz	100	64	0.019952
expt_seq	0x09	1.6GHz	100	64	0.019848
expt_seq	0x09	1.6GHz	100	64	0.019903
expt_seq	0x09	1.6GHz	100	64	0.022789
expt_seq	0x09	1.6GHz	1000	2	0.059739
expt_seq	0x09	1.6GHz	1000	2	0.055657
expt_seq	0x09	1.6GHz	1000	2	0.054774
expt_seq	0x09	1.6GHz	1000	2	0.059734
expt_seq	0x09	1.6GHz	1000	2	0.055493
expt_seq	0x09	1.6GHz	1000	4	0.051977
expt_seq	0x09	1.6GHz	1000	4	0.052493
expt_seq	0x09	1.6GHz	1000	4	0.055933
expt_seq	0x09	1.6GHz	1000	4	0.055045
expt_seq	0x09	1.6GHz	1000	4	0.051917
expt_seq	0x09	1.6GHz	1000	8	0.046692
expt_seq	0x09	1.6GHz	1000	8	0.050279
expt_seq	0x09	1.6GHz	1000	8	0.046911
expt_seq	0x09	1.6GHz	1000	8	0.049564
expt_seq	0x09	1.6GHz	1000	8	0.046489
expt_seq	0x09	1.6GHz	1000	16	0.047269
expt_seq	0x09	1.6GHz	1000	16	0.04656
expt_seq	0x09	1.6GHz	1000	16	0.04287
expt_seq	0x09	1.6GHz	1000	16	0.045965
expt_seq	0x09	1.6GHz	1000	16	0.043254
expt_seq	0x09	1.6GHz	1000	32	0.043102
expt_seq	0x09	1.6GHz	1000	32	0.038511
expt_seq	0x09	1.6GHz	1000	32	0.038493
expt_seq	0x09	1.6GHz	1000	32	0.038497
expt_seq	0x09	1.6GHz	1000	32	0.039721
expt_seq	0x09	1.6GHz	1000	64	0.035502
expt_seq	0x09	1.6GHz	1000	64	0.035886
expt_seq	0x09	1.6GHz	1000	64	0.035918
expt_seq	0x09	1.6GHz	1000	64	0.035621
