array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0xff	1.8GHz	10	2	0.009455
expt_seq	0xff	1.8GHz	10	2	0.009597
expt_seq	0xff	1.8GHz	10	2	0.009735
expt_seq	0xff	1.8GHz	10	2	0.009527
expt_seq	0xff	1.8GHz	10	2	0.009903
expt_seq	0xff	1.8GHz	10	4	0.009735
expt_seq	0xff	1.8GHz	10	4	0.009463
expt_seq	0xff	1.8GHz	10	4	0.011892
expt_seq	0xff	1.8GHz	10	4	0.009844
expt_seq	0xff	1.8GHz	10	4	0.009279
expt_seq	0xff	1.8GHz	10	8	0.009258
expt_seq	0xff	1.8GHz	10	8	0.009515
expt_seq	0xff	1.8GHz	10	8	0.009872
expt_seq	0xff	1.8GHz	10	8	0.009672
expt_seq	0xff	1.8GHz	10	8	0.009229
expt_seq	0xff	1.8GHz	100	2	0.011096
expt_seq	0xff	1.8GHz	100	2	0.011118
expt_seq	0xff	1.8GHz	100	2	0.011843
expt_seq	0xff	1.8GHz	100	2	0.011038
expt_seq	0xff	1.8GHz	100	2	0.011016
expt_seq	0xff	1.8GHz	100	4	0.011187
expt_seq	0xff	1.8GHz	100	4	0.011064
expt_seq	0xff	1.8GHz	100	4	0.011024
expt_seq	0xff	1.8GHz	100	4	0.012289
expt_seq	0xff	1.8GHz	100	4	0.011063
expt_seq	0xff	1.8GHz	100	8	0.010869
expt_seq	0xff	1.8GHz	100	8	0.010609
expt_seq	0xff	1.8GHz	100	8	0.010861
expt_seq	0xff	1.8GHz	100	8	0.010601
expt_seq	0xff	1.8GHz	100	8	0.010579
expt_seq	0xff	1.8GHz	100	16	0.010277
expt_seq	0xff	1.8GHz	100	16	0.010245
expt_seq	0xff	1.8GHz	100	16	0.010399
expt_seq	0xff	1.8GHz	100	16	0.011121
expt_seq	0xff	1.8GHz	100	16	0.010432
expt_seq	0xff	1.8GHz	100	32	0.010001
expt_seq	0xff	1.8GHz	100	32	0.009968
expt_seq	0xff	1.8GHz	100	32	0.009606
expt_seq	0xff	1.8GHz	100	32	0.009892
expt_seq	0xff	1.8GHz	100	32	0.010381
expt_seq	0xff	1.8GHz	100	64	0.009864
expt_seq	0xff	1.8GHz	100	64	0.009928
expt_seq	0xff	1.8GHz	100	64	0.009783
expt_seq	0xff	1.8GHz	100	64	0.009817
expt_seq	0xff	1.8GHz	100	64	0.009831
expt_seq	0xff	1.8GHz	1000	2	0.028616
expt_seq	0xff	1.8GHz	1000	2	0.028546
expt_seq	0xff	1.8GHz	1000	2	0.021209
expt_seq	0xff	1.8GHz	1000	2	0.025806
expt_seq	0xff	1.8GHz	1000	2	0.021574
expt_seq	0xff	1.8GHz	1000	4	0.023023
expt_seq	0xff	1.8GHz	1000	4	0.02248
expt_seq	0xff	1.8GHz	1000	4	0.02131
expt_seq	0xff	1.8GHz	1000	4	0.031061
expt_seq	0xff	1.8GHz	1000	4	0.028118
expt_seq	0xff	1.8GHz	1000	8	0.0219
expt_seq	0xff	1.8GHz	1000	8	0.024345
expt_seq	0xff	1.8GHz	1000	8	0.0332
expt_seq	0xff	1.8GHz	1000	8	0.025191
expt_seq	0xff	1.8GHz	1000	8	0.03403
expt_seq	0xff	1.8GHz	1000	16	0.017729
expt_seq	0xff	1.8GHz	1000	16	0.018413
expt_seq	0xff	1.8GHz	1000	16	0.021359
expt_seq	0xff	1.8GHz	1000	16	0.025379
expt_seq	0xff	1.8GHz	1000	16	0.028205
expt_seq	0xff	1.8GHz	1000	32	0.029266
expt_seq	0xff	1.8GHz	1000	32	0.025066
expt_seq	0xff	1.8GHz	1000	32	0.027231
expt_seq	0xff	1.8GHz	1000	32	0.021606
expt_seq	0xff	1.8GHz	1000	32	0.017944
expt_seq	0xff	1.8GHz	1000	64	0.027802
expt_seq	0xff	1.8GHz	1000	64	0.026985
expt_seq	0xff	1.8GHz	1000	64	0.016137
expt_seq	0xff	1.8GHz	1000	64	0.017915
expt_seq	0xff	1.8GHz	1000	64	0.025563
expt_seq	0xff	1.8GHz	1000	128	0.016177
expt_seq	0xff	1.8GHz	1000	128	0.01541
expt_seq	0xff	1.8GHz	1000	128	0.016231
expt_seq	0xff	1.8GHz	1000	128	0.015784
expt_seq	0xff	1.8GHz	1000	128	0.015426
expt_seq	0xff	1.8GHz	1000	256	0.014449
expt_seq	0xff	1.8GHz	1000	256	0.014591
expt_seq	0xff	1.8GHz	1000	256	0.018
expt_seq	0xff	1.8GHz	1000	256	0.0144
expt_seq	0xff	1.8GHz	1000	256	0.015681
expt_seq	0xff	1.8GHz	1000	512	0.014652
expt_seq	0xff	1.8GHz	1000	512	0.014527
expt_seq	0xff	1.8GHz	1000	512	0.01661
expt_seq	0xff	1.8GHz	1000	512	0.014262
expt_seq	0xff	1.8GHz	1000	512	0.014772
expt_seq	0xff	1.8GHz	10000	2	0.104029
expt_seq	0xff	1.8GHz	10000	2	0.10088
expt_seq	0xff	1.8GHz	10000	2	0.097293
expt_seq	0xff	1.8GHz	10000	2	0.10243
expt_seq	0xff	1.8GHz	10000	2	0.096389
expt_seq	0xff	1.8GHz	10000	4	0.096459
expt_seq	0xff	1.8GHz	10000	4	0.105342
expt_seq	0xff	1.8GHz	10000	4	0.101601
expt_seq	0xff	1.8GHz	10000	4	0.09924
expt_seq	0xff	1.8GHz	10000	4	0.095052
expt_seq	0xff	1.8GHz	10000	8	0.095166
expt_seq	0xff	1.8GHz	10000	8	0.090123
expt_seq	0xff	1.8GHz	10000	8	0.093364
expt_seq	0xff	1.8GHz	10000	8	0.133007
expt_seq	0xff	1.8GHz	10000	8	0.092853
expt_seq	0xff	1.8GHz	10000	16	0.086975
expt_seq	0xff	1.8GHz	10000	16	0.086695
expt_seq	0xff	1.8GHz	10000	16	0.081312
expt_seq	0xff	1.8GHz	10000	16	0.087763
expt_seq	0xff	1.8GHz	10000	16	0.079411
expt_seq	0xff	1.8GHz	10000	32	0.088894
expt_seq	0xff	1.8GHz	10000	32	0.094635
expt_seq	0xff	1.8GHz	10000	32	0.081986
expt_seq	0xff	1.8GHz	10000	32	0.076051
expt_seq	0xff	1.8GHz	10000	32	0.075215
expt_seq	0xff	1.8GHz	10000	64	0.069297
expt_seq	0xff	1.8GHz	10000	64	0.067979
expt_seq	0xff	1.8GHz	10000	64	0.076611
expt_seq	0xff	1.8GHz	10000	64	0.076139
expt_seq	0xff	1.8GHz	10000	64	0.078232
expt_seq	0xff	1.8GHz	10000	128	0.074077
expt_seq	0xff	1.8GHz	10000	128	0.075178
expt_seq	0xff	1.8GHz	10000	128	0.066413
expt_seq	0xff	1.8GHz	10000	128	0.077564
expt_seq	0xff	1.8GHz	10000	128	0.067957
