array_type	config	frequency	array_size	elapsed_time
random_seq	0x0f	1.8GHz	10	0.01603
random_seq	0x0f	1.8GHz	10	0.015991
random_seq	0x0f	1.8GHz	10	0.016072
random_seq	0x0f	1.8GHz	10	0.016091
random_seq	0x0f	1.8GHz	10	0.01607
random_seq	0x0f	1.8GHz	100	0.018694
random_seq	0x0f	1.8GHz	100	0.023281
random_seq	0x0f	1.8GHz	100	0.018601
random_seq	0x0f	1.8GHz	100	0.018616
random_seq	0x0f	1.8GHz	100	0.020942
random_seq	0x0f	1.8GHz	1000	0.038469
random_seq	0x0f	1.8GHz	1000	0.037805
random_seq	0x0f	1.8GHz	1000	0.043178
random_seq	0x0f	1.8GHz	1000	0.037814
random_seq	0x0f	1.8GHz	1000	0.037652
random_seq	0x0f	1.8GHz	10000	0.257716
random_seq	0x0f	1.8GHz	10000	0.262767
random_seq	0x0f	1.8GHz	10000	0.251013
random_seq	0x0f	1.8GHz	10000	0.254466
random_seq	0x0f	1.8GHz	10000	0.253004
random_seq	0x0f	1.8GHz	100000	2.778307
random_seq	0x0f	1.8GHz	100000	2.799879
random_seq	0x0f	1.8GHz	100000	2.79963
random_seq	0x0f	1.8GHz	100000	2.805995
random_seq	0x0f	1.8GHz	100000	2.807326
random_seq	0x0f	1.8GHz	1000000	29.986708
random_seq	0x0f	1.8GHz	1000000	30.211746
random_seq	0x0f	1.8GHz	1000000	29.972467
random_seq	0x0f	1.8GHz	1000000	30.046424
random_seq	0x0f	1.8GHz	1000000	29.95836
