array_type	config	frequency	array_size	elapsed_time
random_seq	0x09	1.6GHz	80000	4	6.01483
random_seq	0x09	1.6GHz	80000	8	4.833273
random_seq	0x09	1.6GHz	80000	16	4.046168
random_seq	0x09	1.6GHz	80000	32	3.536585
random_seq	0x09	1.6GHz	80000	64	3.111388
random_seq	0x09	1.6GHz	80000	128	2.870446
random_seq	0x09	1.6GHz	80000	256	2.749789
random_seq	0x09	1.6GHz	80000	512	2.817763
random_seq	0x09	1.6GHz	80000	1024	3.091642
random_seq	0x09	1.6GHz	80000	2048	4.080998
random_seq	0x09	1.6GHz	80000	4096	6.334377
random_seq	0x09	1.6GHz	80000	8192	12.358743
random_seq	0x09	1.6GHz	80000	16384	21.516755
random_seq	0x09	1.6GHz	80000	32768	50.141243
random_seq	0x09	1.6GHz	80000	65536	112.016821
random_seq	0x09	1.6GHz	90000	2	7.525209
random_seq	0x09	1.6GHz	90000	4	6.812695
random_seq	0x09	1.6GHz	90000	8	5.504217
random_seq	0x09	1.6GHz	90000	16	4.580315
random_seq	0x09	1.6GHz	90000	32	3.913447
random_seq	0x09	1.6GHz	90000	64	3.510474
random_seq	0x09	1.6GHz	90000	128	3.258496
random_seq	0x09	1.6GHz	90000	256	3.135203
random_seq	0x09	1.6GHz	90000	512	3.215782
random_seq	0x09	1.6GHz	90000	1024	3.549116
random_seq	0x09	1.6GHz	90000	2048	4.715026
random_seq	0x09	1.6GHz	90000	4096	7.231743
random_seq	0x09	1.6GHz	90000	8192	12.684287
random_seq	0x09	1.6GHz	90000	16384	24.71628
random_seq	0x09	1.6GHz	90000	32768	44.141295
random_seq	0x09	1.6GHz	90000	65536	118.68944
random_seq	0x09	1.6GHz	100000	2	8.366784
random_seq	0x09	1.6GHz	100000	4	7.649604
random_seq	0x09	1.6GHz	100000	8	6.206088
random_seq	0x09	1.6GHz	100000	16	5.136756
random_seq	0x09	1.6GHz	100000	32	4.443524
random_seq	0x09	1.6GHz	100000	64	3.964401
random_seq	0x09	1.6GHz	100000	128	3.70943
random_seq	0x09	1.6GHz	100000	256	3.565576
random_seq	0x09	1.6GHz	100000	512	3.58166
random_seq	0x09	1.6GHz	100000	1024	4.091409
random_seq	0x09	1.6GHz	100000	2048	4.998195
random_seq	0x09	1.6GHz	100000	4096	7.119675
random_seq	0x09	1.6GHz	100000	8192	15.266925
random_seq	0x09	1.6GHz	100000	16384	30.048863
random_seq	0x09	1.6GHz	100000	32768	55.699407
random_seq	0x09	1.6GHz	100000	65536	146.010735
random_seq	0x09	1.8GHz	10	2	0.022815
random_seq	0x09	1.8GHz	10	4	0.021544
random_seq	0x09	1.8GHz	10	8	0.018377
random_seq	0x09	1.8GHz	100	2	0.02483
random_seq	0x09	1.8GHz	100	4	0.024294
random_seq	0x09	1.8GHz	100	8	0.027261
random_seq	0x09	1.8GHz	100	16	0.021362
random_seq	0x09	1.8GHz	100	32	0.020593
random_seq	0x09	1.8GHz	100	64	0.019798
random_seq	0x09	1.8GHz	1000	2	0.079923
random_seq	0x09	1.8GHz	1000	4	0.069292
random_seq	0x09	1.8GHz	1000	8	0.059248
random_seq	0x09	1.8GHz	1000	16	0.04658
random_seq	0x09	1.8GHz	1000	32	0.039221
random_seq	0x09	1.8GHz	1000	64	0.035448
random_seq	0x09	1.8GHz	1000	128	0.036604
random_seq	0x09	1.8GHz	1000	256	0.033225
random_seq	0x09	1.8GHz	1000	512	0.038799
random_seq	0x09	1.8GHz	10000	2	0.695132
random_seq	0x09	1.8GHz	10000	4	0.627555
random_seq	0x09	1.8GHz	10000	8	0.48777
random_seq	0x09	1.8GHz	10000	16	0.383272
random_seq	0x09	1.8GHz	10000	32	0.316363
random_seq	0x09	1.8GHz	10000	64	0.272798
random_seq	0x09	1.8GHz	10000	128	0.23752
random_seq	0x09	1.8GHz	10000	256	0.231162
random_seq	0x09	1.8GHz	10000	512	0.232941
random_seq	0x09	1.8GHz	10000	1024	0.266388
random_seq	0x09	1.8GHz	10000	2048	0.397705
random_seq	0x09	1.8GHz	10000	4096	0.82085
random_seq	0x09	1.8GHz	10000	8192	1.73567
random_seq	0x09	1.8GHz	20000	2	1.465575
random_seq	0x09	1.8GHz	20000	4	1.315663
random_seq	0x09	1.8GHz	20000	8	1.024422
random_seq	0x09	1.8GHz	20000	16	0.813791
random_seq	0x09	1.8GHz	20000	32	0.689062
random_seq	0x09	1.8GHz	20000	64	0.591069
random_seq	0x09	1.8GHz	20000	128	0.543525
random_seq	0x09	1.8GHz	20000	256	0.507736
random_seq	0x09	1.8GHz	20000	512	0.522203
random_seq	0x09	1.8GHz	20000	1024	0.590528
random_seq	0x09	1.8GHz	20000	2048	0.78186
random_seq	0x09	1.8GHz	20000	4096	1.502975
random_seq	0x09	1.8GHz	20000	8192	2.561207
random_seq	0x09	1.8GHz	20000	16384	4.264426
random_seq	0x09	1.8GHz	30000	2	2.30728
random_seq	0x09	1.8GHz	30000	4	2.076593
random_seq	0x09	1.8GHz	30000	8	1.633147
random_seq	0x09	1.8GHz	30000	16	1.300863
random_seq	0x09	1.8GHz	30000	32	1.10929
random_seq	0x09	1.8GHz	30000	64	0.968695
random_seq	0x09	1.8GHz	30000	128	0.87006
random_seq	0x09	1.8GHz	30000	256	0.83121
random_seq	0x09	1.8GHz	30000	512	0.855783
random_seq	0x09	1.8GHz	30000	1024	0.988483
random_seq	0x09	1.8GHz	30000	2048	1.404085
random_seq	0x09	1.8GHz	30000	4096	2.056124
random_seq	0x09	1.8GHz	30000	8192	4.514916
random_seq	0x09	1.8GHz	30000	16384	8.807515
random_seq	0x09	1.8GHz	40000	2	3.122683
random_seq	0x09	1.8GHz	40000	4	2.785707
random_seq	0x09	1.8GHz	40000	8	2.236555
random_seq	0x09	1.8GHz	40000	16	1.82469
random_seq	0x09	1.8GHz	40000	32	1.55943
random_seq	0x09	1.8GHz	40000	64	1.35202
random_seq	0x09	1.8GHz	40000	128	1.251838
random_seq	0x09	1.8GHz	40000	256	1.189247
random_seq	0x09	1.8GHz	40000	512	1.208086
random_seq	0x09	1.8GHz	40000	1024	1.344574
random_seq	0x09	1.8GHz	40000	2048	1.842423
random_seq	0x09	1.8GHz	40000	4096	3.127085
random_seq	0x09	1.8GHz	40000	8192	5.652644
random_seq	0x09	1.8GHz	40000	16384	11.613797
random_seq	0x09	1.8GHz	40000	32768	39.709622
random_seq	0x09	1.8GHz	50000	2	4.054154
random_seq	0x09	1.8GHz	50000	4	3.575904
random_seq	0x09	1.8GHz	50000	8	2.916847
random_seq	0x09	1.8GHz	50000	16	2.382982
random_seq	0x09	1.8GHz	50000	32	2.036624
random_seq	0x09	1.8GHz	50000	64	1.818077
random_seq	0x09	1.8GHz	50000	128	1.65456
random_seq	0x09	1.8GHz	50000	256	1.598784
random_seq	0x09	1.8GHz	50000	512	1.592487
random_seq	0x09	1.8GHz	50000	1024	1.780835
random_seq	0x09	1.8GHz	50000	2048	2.297011
random_seq	0x09	1.8GHz	50000	4096	3.876436
random_seq	0x09	1.8GHz	50000	8192	6.944767
random_seq	0x09	1.8GHz	50000	16384	12.069695
