Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel;p=6;dense_list,__no_input,6.59955805322546,0.49546764488120726,151525297.89646465,150614546.0,128777803,228789957,11375895.45893792,0.07507588248868469,396,,,,,,,0
parallel;p=4;dense_list,__no_input,6.5989303159253785,0.44544724633269017,151539712.0631313,150956380.5,129064931,218088740,10229377.219769072,0.06750294744857059,396,,,,,,,0
parallel;p=24;dense_list,__no_input,6.559930978737182,0.47375527563834197,152440628.2994924,151547044.5,131941397,216231408,11009193.863867553,0.07221955187850805,394,,,,,,,0
parallel;p=32;dense_list,__no_input,6.559747615872198,0.4968876502348787,152444889.4314721,151261396.0,129332907,220617568,11547392.877835352,0.07574798289992006,394,,,,,,,0
parallel;p=40;dense_list,__no_input,6.519398135031632,0.4802456306241248,153388392.5,152730235.0,132331688,232813366,11299218.69485976,0.07366410528658328,392,,,,,,,0
parallel;p=12;dense_list,__no_input,6.516565575945154,0.4790932062124277,153455065.91560102,152575480.0,128277426,212957743,11281905.887731604,0.07351927953904472,391,,,,,,,0
parallel;p=2;dense_list,__no_input,6.465216772304397,0.4765796729946273,154673854.75515464,153404967.5,128161199,227385101,11401692.737636708,0.07371441512003007,388,,,,,,,0
serial;dense_list,__no_input,4.851176313565617,0.05625865245892338,206135571.119863,205331632.0,203579272,226081036,2390535.553742907,0.011596909455054056,292,,,,,,,0
serial;sparse_list,__no_input,0.6933470176394784,0.02250468918002625,1442279226.0714285,1422111301.5,1387024228,1535436404,46813565.02267903,0.03245804569354631,42,,,,,,,0
parallel;p=4;sparse_list,__no_input,0.610320965143807,0.06455335716718291,1638482138.2702703,1576608440.0,1385171650,2006257253,173301473.69079542,0.10576952268381033,37,,,,,,,0
parallel;p=6;sparse_list,__no_input,0.5985943603309563,0.05392948760874272,1670580390.1111112,1626205661.5,1387998319,1980383400,150508508.63027513,0.09009354444790575,36,,,,,,,0
parallel;p=40;sparse_list,__no_input,0.5854871668279862,0.0666566211792465,1707979366.0,1700801512.0,1432415317,2121746106,194450263.01469687,0.1138481335814316,36,,,,,,,0
parallel;p=32;sparse_list,__no_input,0.580596458651499,0.06161814118302558,1722366688.7714286,1740698555.0,1416901548,2043637096,182793112.52458355,0.10612903379765817,35,,,,,,,0
parallel;p=12;sparse_list,__no_input,0.5788917213888252,0.059678344671991276,1727438764.5428572,1733236225.0,1427609276,2120409564,178082847.24269587,0.10309068599014741,35,,,,,,,0
parallel;p=24;sparse_list,__no_input,0.5781438989154558,0.05389235567136905,1729673186.6857142,1694234959.0,1434802935,2035815608,161233496.96669233,0.09321616257209683,35,,,,,,,0
parallel;p=2;sparse_list,__no_input,0.5705556329076392,0.06212057062469335,1752677464.4285715,1768653278.0,1392193226,2152204785,190826832.53250512,0.10887732421134355,35,,,,,,,0
