Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel;p=4;dense_list,__no_input,3.294207432214988,0.29865275669067554,303563154.59090906,304180014.5,237101429,369889056,27521027.383310206,0.09065997294829269,198,,,,,,,0
parallel;p=40;dense_list,__no_input,3.2890408106053055,0.29628566999361416,304040009.7121212,307039618.5,234804191,361637248,27388744.369469296,0.09008269798242079,198,,,,,,,0
parallel;p=6;dense_list,__no_input,3.2622945833982304,0.3152915843136159,306532710.1632653,305332630.0,234110820,385795722,29625523.18946255,0.09664718383132234,196,,,,,,,0
parallel;p=32;dense_list,__no_input,3.2420973853537323,0.3239776450417179,308442307.9076923,310617649.0,236283498,398058230,30822150.19160006,0.09992841254716658,195,,,,,,,0
parallel;p=24;dense_list,__no_input,3.2409770735891885,0.2902450233069293,308548927.46666664,312008401.0,247453304,370281952,27632034.602674346,0.0895547906438907,195,,,,,,,0
parallel;p=2;dense_list,__no_input,3.1781608602187683,0.2547348300475298,314647383.8115183,316482580.0,241953554,376968125,25219506.30107809,0.08015164784012699,191,,,,,,,0
parallel;p=12;dense_list,__no_input,3.056555535463618,0.2890466176572935,327165657.02717394,333724694.0,246518814,403593324,30938788.934187315,0.09456612657733077,184,,,,,,,0
parallel;p=32;sparse_list,__no_input,2.72730731123778,0.1527192507654864,366662017.10365856,368510618.0,320383391,414376054,20531734.104734577,0.05599634853623269,164,,,,,,,0
parallel;p=2;sparse_list,__no_input,2.719391511067323,0.16381497169267242,367729323.24390244,365627972.0,316968533,433586712,22151855.82237928,0.06023956867776547,164,,,,,,,0
parallel;p=40;sparse_list,__no_input,2.7190126924069054,0.15911773856343484,367780556.0792683,369416933.5,320336698,420975435,21522669.068209708,0.058520410370935694,164,,,,,,,0
parallel;p=6;sparse_list,__no_input,2.7121656807201315,0.14620019829586772,368709038.3558282,370225024.0,317750352,422795748,19875384.0535243,0.05390533452110079,163,,,,,,,0
parallel;p=4;sparse_list,__no_input,2.708127254471704,0.16539359858596536,369258866.3803681,369347569.0,322358216,419862480,22551766.213931937,0.061073052720423224,163,,,,,,,0
serial;dense_list,__no_input,2.706720481818182,0.8026859378628394,369450782.49390244,318709586.5,254147720,674331979,109561718.63046414,0.29655294784027797,164,,,,,,,0
parallel;p=12;sparse_list,__no_input,2.7020459077435612,0.14730026734966262,370089937.0858896,368670639.0,322384502,421729282,20175211.13166263,0.05451434667617135,163,,,,,,,0
parallel;p=24;sparse_list,__no_input,2.6999620401986917,0.14898789745157084,370375577.5493827,371772126.0,328582296,416795392,20437871.994094007,0.055181478566493754,162,,,,,,,0
serial;sparse_list,__no_input,2.2886381730824383,0.6096415286126486,436941064.67391306,373548046.0,320433550,693084550,116391232.88006409,0.26637741858144254,138,,,,,,,0
