Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel;p=40;default,__no_input,2.4134527326425124,0.03125887187118638,414344141.26896554,413137919.0,405954808,442080641,5366556.488687538,0.012951930422503343,145,,,,,,,0
parallel;p=32;default,__no_input,2.078110971330555,0.02317632786090059,481206255.968,481623249.0,469213523,495171344,5366697.982394142,0.011152593957030818,125,,,,,,,0
parallel;p=24;default,__no_input,1.755999286321204,0.01598430307691986,569476313.4528302,569393347.5,551083787,583185034,5183761.781832529,0.009102681989357052,106,,,,,,,0
parallel;p=12;default,__no_input,1.1479825155522727,0.012714427781546266,871093406.4347826,870098884.0,852897460,895818472,9647755.13307185,0.011075454207096172,69,,,,,,,0
parallel;p=6;default,__no_input,0.5520341514600321,0.0035491232418862592,1811482129.0588236,1808418597.0,1795877468,1854103799,11646332.585584164,0.006429173326504275,34,,,,,,,0
parallel;p=4;default,__no_input,0.3510128373644383,0.0035281423615928544,2848898654.2727275,2844960612.5,2814969974,2961754188,28635192.09580567,0.010051320026024485,22,,,,,,,0
parallel;p=2;default,__no_input,0.11688373103862507,7.485584304920719e-4,8555510601.125,8572468451.5,8420799697,8582560138,54792053.01480379,0.006404299587636412,8,,,,,,,0
serial;default,__no_input,0.11676027504129845,8.852102512962284e-4,8564556735.125,8593840453.0,8460695156,8624405935,64931616.65694288,0.007581433419740806,8,,,,,,,0
