Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel;p=40;kuzmin,__no_input,1.7066403469100493,0.09878604662968063,585946536.3106796,576787566.0,533145902,701933007,33916543.672067225,0.05788334185848665,103,,,,,,,0
parallel;p=40;uniform,__no_input,1.6408103691802318,0.06566959200163633,609454949.080808,605386161.0,559003680,679966776,24392006.901754588,0.040022657849514705,99,,,,,,,0
serial;kuzmin,__no_input,1.4488677368367497,0.09714928436029832,690194125.091954,681643620.0,621745850,852955915,46278803.52195362,0.06705186532236555,87,,,,,,,0
serial;uniform,__no_input,1.10380644721315,0.06298393696885783,905955933.238806,898422489.0,817789843,1021831159,51694453.80550225,0.05706067139567573,67,,,,,,,0
parallel;p=40;perimeter,__no_input,0.8227261311702335,0.032873279812866515,1215471299.76,1219971874.5,1121598878,1324841384,48566013.194069155,0.03995652814151903,50,,,,,,,0
serial;perimeter,__no_input,0.2148029015886188,0.014009794450414828,4655430595.230769,4513370383.0,4376324457,5233165835,303634751.8352664,0.06522162571735543,13,,,,,,,0
