Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
serial;dense_text,__no_input,5.235388764744411,0.3528991440273084,191007782.7904762,188324952.0,168367455,238612522,12875162.872953111,0.0674064830493131,315,,,,,,,0
parallel;p=2;dense_text,__no_input,5.052544997080718,0.14628932871889924,197920058.22368422,196796838.5,187108066,237080333,5730496.704982767,0.028953592457548215,304,,,,,,,0
parallel;p=4;dense_text,__no_input,4.795098704164916,0.13496279063188407,208546280.6284722,207992837.5,194773337,229141568,5869741.113998687,0.028145988009518633,288,,,,,,,0
parallel;p=6;dense_text,__no_input,4.651979201301642,0.09017339572147902,214962268.04285714,214672868.5,203757496,237570407,4166802.3055630852,0.0193838776614152,280,,,,,,,0
parallel;p=2;natural_text,__no_input,4.6300977390034195,0.12720584968151954,215978162.0971223,215797806.0,202028467,233361928,5933716.126720648,0.0274736856222174,278,,,,,,,0
parallel;p=4;natural_text,__no_input,4.412409410440625,0.10833434677157318,226633548.0188679,226744742.0,213113067,245241627,5564351.604149132,0.024552197381148017,265,,,,,,,0
parallel;p=6;natural_text,__no_input,4.301923724408146,0.09592172810054475,232454144.7181467,231713636.0,220215684,249013021,5183123.805517124,0.022297403265498752,259,,,,,,,0
serial;natural_text,__no_input,4.055046159996856,0.15769348879921144,246606317.30041152,245874713.0,221854300,276948043,9590078.386446131,0.03888821053502723,243,,,,,,,0
parallel;p=12;dense_text,__no_input,3.8261065205890974,0.09271183228950601,261362299.9304348,260516779.0,248208181,282634590,6333168.610846513,0.02423137771795004,230,,,,,,,0
parallel;p=12;natural_text,__no_input,3.5641029000523585,0.0795351783138528,280575513.1214953,280875350.0,263943343,301399194,6261217.504772672,0.022315623466618875,214,,,,,,,0
parallel;p=24;dense_text,__no_input,2.5950224951803125,0.11091001108003004,385353114.224359,382060038.5,364589270,498085947,16469806.426621372,0.042739518168347736,156,,,,,,,0
parallel;p=24;natural_text,__no_input,2.415773935647841,0.07823170889878373,413946017.56551725,412646093.0,390286234,494121811,13405105.448044328,0.03238370434599636,145,,,,,,,0
parallel;p=32;dense_text,__no_input,2.067097481840084,0.04423586094563323,483770121.528,482253451.0,462911610,543893417,10352674.711071152,0.021399987825564695,125,,,,,,,0
parallel;p=32;natural_text,__no_input,1.9113531679026958,0.07703812077215398,523189548.00869566,518996856.0,492670149,645581641,21087437.038362365,0.04030553958622255,115,,,,,,,0
parallel;p=40;dense_text,__no_input,1.6620550786453006,0.04364817237475639,601664778.05,599776046.5,568948818,671979371,15800660.448359564,0.026261567944145945,100,,,,,,,0
parallel;p=40;natural_text,__no_input,1.5454087931045362,0.05676362810320344,647077979.9247311,642122283.0,618099453,744995883,23767493.733766414,0.03673049380621958,93,,,,,,,0
