array_type	config	frequency	array_size	elapsed_time
expt_seq	0x60	1.8GHz	10	0.008854
expt_seq	0x60	1.8GHz	10	0.008663
expt_seq	0x60	1.8GHz	10	0.0087
expt_seq	0x60	1.8GHz	10	0.008292
expt_seq	0x60	1.8GHz	10	0.008422
expt_seq	0x60	1.8GHz	100	0.010302
expt_seq	0x60	1.8GHz	100	0.01027
expt_seq	0x60	1.8GHz	100	0.011737
expt_seq	0x60	1.8GHz	100	0.010651
expt_seq	0x60	1.8GHz	100	0.010325
expt_seq	0x60	1.8GHz	1000	0.025431
expt_seq	0x60	1.8GHz	1000	0.025993
expt_seq	0x60	1.8GHz	1000	0.026014
expt_seq	0x60	1.8GHz	1000	0.025992
expt_seq	0x60	1.8GHz	1000	0.025942
expt_seq	0x60	1.8GHz	10000	0.187427
expt_seq	0x60	1.8GHz	10000	0.191433
expt_seq	0x60	1.8GHz	10000	0.189984
expt_seq	0x60	1.8GHz	10000	0.189463
expt_seq	0x60	1.8GHz	10000	0.189336
expt_seq	0x60	1.8GHz	100000	2.001767
expt_seq	0x60	1.8GHz	100000	2.011028
expt_seq	0x60	1.8GHz	100000	1.982921
expt_seq	0x60	1.8GHz	100000	1.987928
expt_seq	0x60	1.8GHz	100000	1.991467
expt_seq	0x60	1.8GHz	1000000	20.995607
expt_seq	0x60	1.8GHz	1000000	21.316617
expt_seq	0x60	1.8GHz	1000000	20.738173
expt_seq	0x60	1.8GHz	1000000	20.747162
expt_seq	0x60	1.8GHz	1000000	21.03383
