Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel,"large list, p=12",21.29039200163921,2.677643706525529,46969543.81690141,46878911.0,35577921,80433419,5907251.655583321,0.12576770339970111,639,,,,,,,0
serial,"large list, p=12",18.91979730624906,0.4963187292965734,52854688.86443662,52822346.0,44182297,66713271,1386525.0028814238,0.02623277201456293,568,,,,,,,0
parallel,"large list, p=2",22.80697537125382,2.952908812868633,43846234.92251462,44585755.5,27644253,59036167,5676944.505188194,0.12947393351380185,684,,,,,,,0
serial,"large list, p=2",18.30375658673621,0.6635357683200557,54633593.670309655,54606001.0,44406781,67752470,1980541.1736290313,0.036251343552114644,549,,,,,,,0
parallel,"large list, p=24",19.02010326523575,2.297747594515544,52575950.0910683,50700393.0,39441376,77639931,6351504.046349041,0.12080626285112148,571,,,,,,,0
serial,"large list, p=24",18.981919155649162,0.5525552235011573,52681712.09666081,52705883.0,42406583,66161194,1533541.2064133047,0.029109555201994035,569,,,,,,,0
serial,"large list, p=32",19.019526306648082,0.5535861120735686,52577544.98598949,52554670.0,43283970,66426851,1530332.4721075357,0.029106198711167066,571,,,,,,,0
parallel,"large list, p=32",17.63262938234398,1.5430935148610305,56713039.12287334,56382132.0,45153131,80093210,4963157.846792571,0.08751352287856576,529,,,,,,,0
parallel,"large list, p=4",26.887410004138363,2.467205610396616,37192128.205955334,37468315.5,25614638,59796250,3412773.017490339,0.09176062737232321,806,,,,,,,0
serial,"large list, p=4",18.979265368728143,0.49630124881257665,52689078.34797891,52755972.0,44144159,66409817,1377801.2412415093,0.026149655382885627,569,,,,,,,0
serial,"large list, p=40",18.996091301566686,0.5414530603286919,52642408.594736844,52693956.0,44101390,66454325,1500487.2731024886,0.0285033932366937,570,,,,,,,0
parallel,"large list, p=40",17.66864267171237,1.4924293564883815,56597443.19811321,56480834.0,45903343,78833246,4780655.045239056,0.08446768573104782,530,,,,,,,0
parallel,"large list, p=6",28.7806941928198,2.053574565735178,34745513.54808807,34532923.0,29119471,57808146,2479179.3560546464,0.0713525028957607,863,,,,,,,0
serial,"large list, p=6",19.01809653329892,0.6485703717488422,52581497.746059544,52634761.0,43679884,66593594,1793176.3823241675,0.03410280154027275,571,,,,,,,0
