array_type	config	frequency	array_size	elapsed_time
expt_seq	0x69	1.6GHz	10	0.016146
expt_seq	0x69	1.6GHz	10	0.015914
expt_seq	0x69	1.6GHz	10	0.00932
expt_seq	0x69	1.6GHz	10	0.008323
expt_seq	0x69	1.6GHz	10	0.008249
expt_seq	0x69	1.6GHz	100	0.01015
expt_seq	0x69	1.6GHz	100	0.010677
expt_seq	0x69	1.6GHz	100	0.010139
expt_seq	0x69	1.6GHz	100	0.00987
expt_seq	0x69	1.6GHz	100	0.011541
expt_seq	0x69	1.6GHz	1000	0.025668
expt_seq	0x69	1.6GHz	1000	0.023609
expt_seq	0x69	1.6GHz	1000	0.022906
expt_seq	0x69	1.6GHz	1000	0.025802
expt_seq	0x69	1.6GHz	1000	0.024327
expt_seq	0x69	1.6GHz	10000	0.136342
expt_seq	0x69	1.6GHz	10000	0.134864
expt_seq	0x69	1.6GHz	10000	0.139021
expt_seq	0x69	1.6GHz	10000	0.149791
expt_seq	0x69	1.6GHz	10000	0.134266
expt_seq	0x69	1.6GHz	100000	1.317692
expt_seq	0x69	1.6GHz	100000	1.287605
expt_seq	0x69	1.6GHz	100000	1.307744
expt_seq	0x69	1.6GHz	100000	1.321026
expt_seq	0x69	1.6GHz	100000	1.322975
expt_seq	0x69	1.6GHz	1000000	13.43161
expt_seq	0x69	1.6GHz	1000000	13.802014
expt_seq	0x69	1.6GHz	1000000	13.256461
expt_seq	0x69	1.6GHz	1000000	13.338249
expt_seq	0x69	1.6GHz	1000000	14.031884
