array_type	config	frequency	array_size	elapsed_time
expt_seq	0x09	1.6GHz	10	0.019206
expt_seq	0x09	1.6GHz	10	0.016132
expt_seq	0x09	1.6GHz	10	0.016095
expt_seq	0x09	1.6GHz	10	0.016177
expt_seq	0x09	1.6GHz	10	0.016225
expt_seq	0x09	1.6GHz	100	0.018863
expt_seq	0x09	1.6GHz	100	0.019011
expt_seq	0x09	1.6GHz	100	0.021723
expt_seq	0x09	1.6GHz	100	0.018868
expt_seq	0x09	1.6GHz	100	0.018928
expt_seq	0x09	1.6GHz	1000	0.044708
expt_seq	0x09	1.6GHz	1000	0.045148
expt_seq	0x09	1.6GHz	1000	0.044858
expt_seq	0x09	1.6GHz	1000	0.044053
expt_seq	0x09	1.6GHz	1000	0.043805
expt_seq	0x09	1.6GHz	10000	0.326501
expt_seq	0x09	1.6GHz	10000	0.32188
expt_seq	0x09	1.6GHz	10000	0.320109
expt_seq	0x09	1.6GHz	10000	0.322106
expt_seq	0x09	1.6GHz	10000	0.319972
expt_seq	0x09	1.6GHz	100000	3.383426
expt_seq	0x09	1.6GHz	100000	3.420642
expt_seq	0x09	1.6GHz	100000	3.43055
expt_seq	0x09	1.6GHz	100000	3.406711
expt_seq	0x09	1.6GHz	100000	3.413446
expt_seq	0x09	1.6GHz	1000000	35.725226
expt_seq	0x09	1.6GHz	1000000	35.952814
expt_seq	0x09	1.6GHz	1000000	36.102636
expt_seq	0x09	1.6GHz	1000000	36.130437
expt_seq	0x09	1.6GHz	1000000	35.817835
