array_type	config	frequency	array_size	elapsed_time
random_seq	0x60	1.8GHz	10	0.008805
random_seq	0x60	1.8GHz	10	0.008494
random_seq	0x60	1.8GHz	10	0.008698
random_seq	0x60	1.8GHz	10	0.008755
random_seq	0x60	1.8GHz	10	0.008449
random_seq	0x60	1.8GHz	100	0.011019
random_seq	0x60	1.8GHz	100	0.010674
random_seq	0x60	1.8GHz	100	0.010601
random_seq	0x60	1.8GHz	100	0.010901
random_seq	0x60	1.8GHz	100	0.010339
random_seq	0x60	1.8GHz	1000	0.032035
random_seq	0x60	1.8GHz	1000	0.032311
random_seq	0x60	1.8GHz	1000	0.032494
random_seq	0x60	1.8GHz	1000	0.032149
random_seq	0x60	1.8GHz	1000	0.031622
random_seq	0x60	1.8GHz	10000	0.284765
random_seq	0x60	1.8GHz	10000	0.280634
random_seq	0x60	1.8GHz	10000	0.287869
random_seq	0x60	1.8GHz	10000	0.280508
random_seq	0x60	1.8GHz	10000	0.282167
random_seq	0x60	1.8GHz	100000	3.128643
random_seq	0x60	1.8GHz	100000	3.135933
random_seq	0x60	1.8GHz	100000	3.072533
random_seq	0x60	1.8GHz	100000	3.087178
random_seq	0x60	1.8GHz	100000	3.16774
random_seq	0x60	1.8GHz	1000000	33.343636
random_seq	0x60	1.8GHz	1000000	32.928126
random_seq	0x60	1.8GHz	1000000	33.955514
random_seq	0x60	1.8GHz	1000000	32.802237
random_seq	0x60	1.8GHz	1000000	33.419682
