array_type	config	frequency	array_size	elapsed_time
random_seq	0xf0	1.6GHz	10	0.008542
random_seq	0xf0	1.6GHz	100	0.0114
random_seq	0xf0	1.6GHz	1000	0.030116
random_seq	0xf0	1.6GHz	10000	0.234535
random_seq	0xf0	1.6GHz	20000	0.469889
random_seq	0xf0	1.6GHz	30000	0.714147
random_seq	0xf0	1.6GHz	40000	0.952994
random_seq	0xf0	1.6GHz	50000	1.215585
random_seq	0xf0	1.6GHz	60000	1.397994
random_seq	0xf0	1.6GHz	70000	1.66306
random_seq	0xf0	1.6GHz	80000	1.808693
random_seq	0xf0	1.6GHz	90000	2.027101
random_seq	0xf0	1.6GHz	100000	2.324812
random_seq	0xf0	1.6GHz	200000	5.102523
random_seq	0xf0	1.6GHz	300000	7.238916
random_seq	0xf0	1.6GHz	400000	10.127598
random_seq	0xf0	1.6GHz	500000	12.147526
random_seq	0xf0	1.6GHz	600000	14.306308
random_seq	0xf0	1.6GHz	700000	16.638605
random_seq	0xf0	1.6GHz	800000	19.475909
random_seq	0xf0	1.6GHz	900000	22.589434
random_seq	0xf0	1.6GHz	1000000	23.730075
random_seq	0xf0	1.8GHz	10	0.008568
random_seq	0xf0	1.8GHz	100	0.010488
random_seq	0xf0	1.8GHz	1000	0.026867
random_seq	0xf0	1.8GHz	10000	0.222884
random_seq	0xf0	1.8GHz	20000	0.48825
random_seq	0xf0	1.8GHz	30000	0.764699
random_seq	0xf0	1.8GHz	40000	0.9366
random_seq	0xf0	1.8GHz	50000	1.138238
random_seq	0xf0	1.8GHz	60000	1.351402
random_seq	0xf0	1.8GHz	70000	1.614829
random_seq	0xf0	1.8GHz	80000	1.822517
random_seq	0xf0	1.8GHz	90000	2.088265
random_seq	0xf0	1.8GHz	100000	2.308662
random_seq	0xf0	1.8GHz	200000	5.249915
random_seq	0xf0	1.8GHz	300000	7.309993
random_seq	0xf0	1.8GHz	400000	9.547006
random_seq	0xf0	1.8GHz	500000	12.119269
random_seq	0xf0	1.8GHz	600000	14.545225
random_seq	0xf0	1.8GHz	700000	16.968375
random_seq	0xf0	1.8GHz	800000	19.440078
random_seq	0xf0	1.8GHz	900000	21.661443
random_seq	0xf0	1.8GHz	1000000	23.862938
random_seq	0x0f	1.6GHz	10	0.015881
random_seq	0x0f	1.6GHz	100	0.022944
random_seq	0x0f	1.6GHz	1000	0.038053
random_seq	0x0f	1.6GHz	10000	0.250859
random_seq	0x0f	1.6GHz	20000	0.579189
random_seq	0x0f	1.6GHz	30000	0.876514
random_seq	0x0f	1.6GHz	40000	1.138022
random_seq	0x0f	1.6GHz	50000	1.379066
random_seq	0x0f	1.6GHz	60000	1.668673
random_seq	0x0f	1.6GHz	70000	1.98071
random_seq	0x0f	1.6GHz	80000	2.24822
random_seq	0x0f	1.6GHz	90000	2.539848
random_seq	0x0f	1.6GHz	100000	2.822818
random_seq	0x0f	1.6GHz	200000	6.497145
random_seq	0x0f	1.6GHz	300000	9.642661
random_seq	0x0f	1.6GHz	400000	11.857251
random_seq	0x0f	1.6GHz	500000	15.542264
random_seq	0x0f	1.6GHz	600000	18.549755
random_seq	0x0f	1.6GHz	700000	21.040804
random_seq	0x0f	1.6GHz	800000	24.421581
random_seq	0x0f	1.6GHz	900000	27.170682
random_seq	0x0f	1.6GHz	1000000	30.114224
random_seq	0x0f	1.8GHz	10	0.016196
random_seq	0x0f	1.8GHz	100	0.01944
random_seq	0x0f	1.8GHz	1000	0.041107
random_seq	0x0f	1.8GHz	10000	0.255158
random_seq	0x0f	1.8GHz	20000	0.58168
random_seq	0x0f	1.8GHz	30000	0.869103
random_seq	0x0f	1.8GHz	40000	1.122822
random_seq	0x0f	1.8GHz	50000	1.423163
random_seq	0x0f	1.8GHz	60000	1.672945
random_seq	0x0f	1.8GHz	70000	1.961666
random_seq	0x0f	1.8GHz	80000	2.234658
random_seq	0x0f	1.8GHz	90000	2.510011
random_seq	0x0f	1.8GHz	100000	2.803368
random_seq	0x0f	1.8GHz	200000	6.417866
random_seq	0x0f	1.8GHz	300000	9.477125
random_seq	0x0f	1.8GHz	400000	12.186506
random_seq	0x0f	1.8GHz	500000	15.226775
random_seq	0x0f	1.8GHz	600000	17.944972
random_seq	0x0f	1.8GHz	700000	21.673571
