array_type	config	frequency	array_size	elapsed_time
random_seq	0x09	1.6GHz	10	
random_seq	0x09	1.6GHz	100	
random_seq	0x09	1.6GHz	1000	
random_seq	0x09	1.6GHz	10000	
random_seq	0x09	1.6GHz	20000	
random_seq	0x09	1.6GHz	30000	
random_seq	0x09	1.6GHz	40000	
random_seq	0x09	1.6GHz	50000	
random_seq	0x09	1.6GHz	60000	
random_seq	0x09	1.6GHz	70000	
random_seq	0x09	1.6GHz	80000	
random_seq	0x09	1.6GHz	90000	
random_seq	0x09	1.6GHz	100000	
random_seq	0x09	1.6GHz	200000	
random_seq	0x09	1.6GHz	300000	
random_seq	0x09	1.6GHz	400000	
random_seq	0x09	1.6GHz	500000	
random_seq	0x09	1.6GHz	600000	
random_seq	0x09	1.6GHz	700000	
random_seq	0x09	1.6GHz	800000	
random_seq	0x09	1.6GHz	900000	
random_seq	0x09	1.6GHz	1000000	
random_seq	0x09	1.8GHz	10	
random_seq	0x09	1.8GHz	100	
random_seq	0x09	1.8GHz	1000	
random_seq	0x09	1.8GHz	10000	
random_seq	0x09	1.8GHz	20000	
random_seq	0x09	1.8GHz	30000	
random_seq	0x09	1.8GHz	40000	
random_seq	0x09	1.8GHz	50000	
random_seq	0x09	1.8GHz	60000	
random_seq	0x09	1.8GHz	70000	
random_seq	0x09	1.8GHz	80000	
random_seq	0x09	1.8GHz	90000	
random_seq	0x09	1.8GHz	100000	
random_seq	0x09	1.8GHz	200000	
random_seq	0x09	1.8GHz	300000	
random_seq	0x09	1.8GHz	400000	
random_seq	0x09	1.8GHz	500000	
random_seq	0x09	1.8GHz	600000	
