array_type	config	frequency	array_size	elapsed_time
random_seq	0xf0	1.6GHz	10	0.008397
random_seq	0xf0	1.6GHz	10	0.009143
random_seq	0xf0	1.6GHz	10	0.009643
random_seq	0xf0	1.6GHz	10	0.008592
random_seq	0xf0	1.6GHz	10	0.008666
random_seq	0xf0	1.6GHz	100	0.010576
random_seq	0xf0	1.6GHz	100	0.011435
random_seq	0xf0	1.6GHz	100	0.010531
random_seq	0xf0	1.6GHz	100	0.010783
random_seq	0xf0	1.6GHz	100	0.010588
random_seq	0xf0	1.6GHz	1000	0.028697
random_seq	0xf0	1.6GHz	1000	0.027048
random_seq	0xf0	1.6GHz	1000	0.029303
random_seq	0xf0	1.6GHz	1000	0.02618
random_seq	0xf0	1.6GHz	1000	0.02995
random_seq	0xf0	1.6GHz	10000	0.240994
random_seq	0xf0	1.6GHz	10000	0.218398
random_seq	0xf0	1.6GHz	10000	0.218643
random_seq	0xf0	1.6GHz	10000	0.216446
random_seq	0xf0	1.6GHz	10000	0.265343
random_seq	0xf0	1.6GHz	100000	2.332996
random_seq	0xf0	1.6GHz	100000	2.311269
random_seq	0xf0	1.6GHz	100000	2.251146
random_seq	0xf0	1.6GHz	100000	2.296667
random_seq	0xf0	1.6GHz	100000	2.273892
random_seq	0xf0	1.6GHz	1000000	23.881858
random_seq	0xf0	1.6GHz	1000000	23.769179
random_seq	0xf0	1.6GHz	1000000	24.428905
random_seq	0xf0	1.6GHz	1000000	24.149731
random_seq	0xf0	1.6GHz	1000000	23.855814
